Date,Open,High,Low,Close,Volume,Symbol,Source,Event
2018-05-15,46.51,46.99,46.27,46.79,7149600.0,BP,Yahoo!,Coordination
2018-05-15,46.51,46.9853,46.27,46.79,7149574.0,BP,IEX,Coordination
2018-05-15,249.48,249.58,246.25,247.34,1638200.0,FDX,Yahoo!,Coordination
2018-05-15,248.8226,248.9224,245.6011,246.6883,1638203.0,FDX,IEX,Coordination
2018-05-15,54.58,54.75,53.56,53.92,21712600.0,INTC,Yahoo!,Coordination
2018-05-15,54.58,54.75,53.56,53.92,21712649.0,INTC,IEX,Coordination
2018-05-15,97.24,97.85,96.34,97.32,24594000.0,MSFT,Yahoo!,Coordination
2018-05-15,96.8203,97.4277,95.9242,96.9,24594010.0,MSFT,IEX,Coordination
2018-05-15,46.51,46.82,46.25,46.81,11304900.0,ORCL,Yahoo!,Coordination
2018-05-15,46.51,46.82,46.25,46.81,11304873.0,ORCL,IEX,Coordination
2018-05-15,115.78,116.47,114.85,115.61,3480400.0,UPS,Yahoo!,Coordination
2018-05-15,114.8763,115.561,113.9536,114.7077,3480370.0,UPS,IEX,Coordination
2018-05-15,81.85,82.03,81.4,81.79,12595700.0,XOM,Yahoo!,Coordination
2018-05-15,81.85,82.03,81.4,81.79,12595736.0,XOM,IEX,Coordination
2018-05-16,46.8,46.82,46.43,46.71,4866500.0,BP,Yahoo!,Coordination
2018-05-16,46.8,46.82,46.43,46.71,4866498.0,BP,IEX,Coordination
2018-05-16,247.78,248.72,246.54,247.12,1101200.0,FDX,Yahoo!,Coordination
2018-05-16,247.1271,248.0627,245.8904,246.4688,1101189.0,FDX,IEX,Coordination
2018-05-16,54.17,54.7,53.96,54.64,16260500.0,INTC,Yahoo!,Coordination
2018-05-16,54.17,54.7,53.955,54.64,16260459.0,INTC,IEX,Coordination
2018-05-16,97.36,97.4,96.62,97.15,17384700.0,MSFT,Yahoo!,Coordination
2018-05-16,97.36,97.4,96.615,97.15,17384742.0,MSFT,IEX,Coordination
2018-05-16,46.93,46.93,46.45,46.73,9874200.0,ORCL,Yahoo!,Coordination
2018-05-16,46.93,46.93,46.45,46.73,9874195.0,ORCL,IEX,Coordination
2018-05-16,115.54,116.67,115.53,116.32,1970000.0,UPS,Yahoo!,Coordination
2018-05-16,114.6382,115.7544,114.6283,115.4121,1970011.0,UPS,IEX,Coordination
2018-05-16,81.76,82.05,81.17,82.02,9570000.0,XOM,Yahoo!,Coordination
2018-05-16,81.76,82.045,81.17,82.02,9569958.0,XOM,IEX,Coordination
2018-05-17,47.01,47.37,46.93,47.19,7207900.0,BP,Yahoo!,Coordination
2018-05-17,47.01,47.37,46.9331,47.19,7207915.0,BP,IEX,Coordination
2018-05-17,247.69,250.23,247.28,248.46,1084000.0,FDX,Yahoo!,Coordination
2018-05-17,247.0373,249.5706,246.6287,247.8053,1083981.0,FDX,IEX,Coordination
2018-05-17,54.55,55.44,54.42,54.81,16872600.0,INTC,Yahoo!,Coordination
2018-05-17,54.55,55.44,54.42,54.81,16872598.0,INTC,IEX,Coordination
2018-05-17,96.76,97.54,95.83,96.18,17246700.0,MSFT,Yahoo!,Coordination
2018-05-17,96.76,97.5401,95.83,96.18,17246716.0,MSFT,IEX,Coordination
2018-05-17,46.69,47.06,46.42,46.54,10162300.0,ORCL,Yahoo!,Coordination
2018-05-17,46.69,47.055,46.42,46.54,10162341.0,ORCL,IEX,Coordination
2018-05-17,116.59,117.44,116.4,116.59,3697200.0,UPS,Yahoo!,Coordination
2018-05-17,115.68,116.5234,115.4915,115.68,3697242.0,UPS,IEX,Coordination
2018-05-17,82.2,82.28,81.44,81.88,11224100.0,XOM,Yahoo!,Coordination
2018-05-17,82.2,82.28,81.44,81.88,11224123.0,XOM,IEX,Coordination
2018-05-18,47.3,47.44,47.14,47.38,4276600.0,BP,Yahoo!,Coordination
2018-05-18,47.3,47.435,47.1442,47.38,4276638.0,BP,IEX,Coordination
2018-05-18,247.88,249.73,246.71,249.45,1195700.0,FDX,Yahoo!,Coordination
2018-05-18,247.2268,249.072,246.0599,248.7927,1195706.0,FDX,IEX,Coordination
2018-05-18,54.53,54.54,53.47,53.5,23679900.0,INTC,Yahoo!,Coordination
2018-05-18,54.53,54.54,53.47,53.5,23679944.0,INTC,IEX,Coordination
2018-05-18,96.01,96.93,96.01,96.36,17865800.0,MSFT,Yahoo!,Coordination
2018-05-18,96.01,96.93,96.01,96.36,17865840.0,MSFT,IEX,Coordination
2018-05-18,46.69,46.79,46.24,46.32,13517300.0,ORCL,Yahoo!,Coordination
2018-05-18,46.69,46.79,46.24,46.32,13517330.0,ORCL,IEX,Coordination
2018-05-18,115.67,115.93,115.1,115.38,2450900.0,UPS,Yahoo!,Coordination
2018-05-18,115.67,115.93,115.1,115.38,2450899.0,UPS,IEX,Coordination
2018-05-18,81.55,81.8,81.26,81.3,10030900.0,XOM,Yahoo!,Coordination
2018-05-18,81.55,81.8,81.26,81.3,10030931.0,XOM,IEX,Coordination
2018-05-21,47.38,47.83,47.38,47.79,5412100.0,BP,Yahoo!,Coordination
2018-05-21,47.38,47.83,47.38,47.79,5412095.0,BP,IEX,Coordination
2018-05-21,251.0,254.94,250.68,254.66,1384200.0,FDX,Yahoo!,Coordination
2018-05-21,250.3386,254.2682,250.0195,253.989,1384222.0,FDX,IEX,Coordination
2018-05-21,54.36,55.22,53.86,54.32,25367400.0,INTC,Yahoo!,Coordination
2018-05-21,54.36,55.22,53.86,54.32,25367377.0,INTC,IEX,Coordination
2018-05-21,97.0,98.01,96.8,97.6,19422500.0,MSFT,Yahoo!,Coordination
2018-05-21,97.0,98.01,96.8,97.6,19422467.0,MSFT,IEX,Coordination
2018-05-21,46.53,47.29,46.49,47.21,13416300.0,ORCL,Yahoo!,Coordination
2018-05-21,46.53,47.285,46.49,47.21,13416333.0,ORCL,IEX,Coordination
2018-05-21,116.0,117.28,115.5,117.08,3333300.0,UPS,Yahoo!,Coordination
2018-05-21,116.0,117.28,115.5,117.08,3333298.0,UPS,IEX,Coordination
2018-05-21,81.73,82.35,81.52,82.28,8822400.0,XOM,Yahoo!,Coordination
2018-05-21,81.73,82.35,81.52,82.28,8822364.0,XOM,IEX,Coordination
2018-05-22,47.37,47.71,46.93,47.09,7979900.0,BP,Yahoo!,Coordination
2018-05-22,47.37,47.705,46.93,47.09,7979923.0,BP,IEX,Coordination
2018-05-22,255.15,256.3,252.35,252.59,1011300.0,FDX,Yahoo!,Coordination
2018-05-22,254.4777,255.6247,251.6851,251.9244,1011323.0,FDX,IEX,Coordination
2018-05-22,54.73,55.05,54.05,54.45,19009600.0,INTC,Yahoo!,Coordination
2018-05-22,54.73,55.05,54.05,54.45,19009588.0,INTC,IEX,Coordination
2018-05-22,97.68,98.17,97.2,97.5,15441200.0,MSFT,Yahoo!,Coordination
2018-05-22,97.68,98.17,97.2,97.5,15441189.0,MSFT,IEX,Coordination
2018-05-22,47.24,47.54,46.31,46.37,18505100.0,ORCL,Yahoo!,Coordination
2018-05-22,47.24,47.54,46.31,46.37,18505113.0,ORCL,IEX,Coordination
2018-05-22,117.01,117.14,115.29,115.36,2027100.0,UPS,Yahoo!,Coordination
2018-05-22,117.01,117.14,115.29,115.36,2027096.0,UPS,IEX,Coordination
2018-05-22,82.44,82.65,81.35,81.64,10753400.0,XOM,Yahoo!,Coordination
2018-05-22,82.44,82.65,81.35,81.64,10753428.0,XOM,IEX,Coordination
2018-05-23,46.13,46.51,45.9,46.45,7839900.0,BP,Yahoo!,Coordination
2018-05-23,46.13,46.51,45.9,46.45,7871671.0,BP,IEX,Coordination
2018-05-23,252.02,252.02,248.62,250.47,1095500.0,FDX,Yahoo!,Coordination
2018-05-23,251.3559,251.3559,247.9649,249.81,1106812.0,FDX,IEX,Coordination
2018-05-23,54.0,55.23,53.84,55.21,20496500.0,INTC,Yahoo!,Coordination
2018-05-23,54.0,55.23,53.84,55.21,20555425.0,INTC,IEX,Coordination
2018-05-23,96.71,98.73,96.32,98.66,21114800.0,MSFT,Yahoo!,Coordination
2018-05-23,96.71,98.73,96.32,98.66,21251222.0,MSFT,IEX,Coordination
2018-05-23,46.08,46.97,46.02,46.9,8921500.0,ORCL,Yahoo!,Coordination
2018-05-23,46.08,46.97,46.02,46.9,9204379.0,ORCL,IEX,Coordination
2018-05-23,114.85,115.42,113.78,115.28,1974000.0,UPS,Yahoo!,Coordination
2018-05-23,114.85,115.42,113.78,115.28,2013573.0,UPS,IEX,Coordination
2018-05-23,80.95,82.23,80.57,82.15,15140900.0,XOM,Yahoo!,Coordination
2018-05-23,80.95,82.23,80.57,82.15,15140896.0,XOM,IEX,Coordination
2018-05-24,45.67,45.94,45.4,45.75,7729200.0,BP,Yahoo!,Cancelled
2018-05-24,45.67,45.94,45.4,45.75,7917840.0,BP,IEX,Cancelled
2018-05-24,250.18,252.01,248.5,251.74,1399400.0,FDX,Yahoo!,Cancelled
2018-05-24,249.5208,251.346,247.8452,251.0767,1496280.0,FDX,IEX,Cancelled
2018-05-24,55.18,55.3,54.13,54.75,19443000.0,INTC,Yahoo!,Cancelled
2018-05-24,55.18,55.3,54.13,54.75,19667095.0,INTC,IEX,Cancelled
2018-05-24,98.73,98.94,96.81,98.31,21540800.0,MSFT,Yahoo!,Cancelled
2018-05-24,98.725,98.94,96.81,98.31,26649287.0,MSFT,IEX,Cancelled
2018-05-24,46.66,46.94,46.14,46.46,12496400.0,ORCL,Yahoo!,Cancelled
2018-05-24,46.66,46.94,46.14,46.46,12497658.0,ORCL,IEX,Cancelled
2018-05-24,115.38,115.81,114.41,115.63,2297300.0,UPS,Yahoo!,Cancelled
2018-05-24,115.38,115.81,114.41,115.63,2303415.0,UPS,IEX,Cancelled
2018-05-24,81.35,81.36,79.95,80.27,13360500.0,XOM,Yahoo!,Cancelled
2018-05-24,81.35,81.36,79.95,80.27,13360454.0,XOM,IEX,Cancelled
2018-05-25,44.82,44.83,44.09,44.35,9171300.0,BP,Yahoo!,Rescheduled
2018-05-25,44.82,44.83,44.09,44.35,9171285.0,BP,IEX,Rescheduled
2018-05-25,250.86,253.18,250.86,251.5,841200.0,FDX,Yahoo!,Rescheduled
2018-05-25,250.199,252.5129,250.199,250.8373,841197.0,FDX,IEX,Rescheduled
2018-05-25,54.8,55.5,54.54,55.44,18550000.0,INTC,Yahoo!,Rescheduled
2018-05-25,54.8,55.5,54.54,55.44,18549989.0,INTC,IEX,Rescheduled
2018-05-25,98.3,98.98,97.86,98.36,18363900.0,MSFT,Yahoo!,Rescheduled
2018-05-25,98.3,98.98,97.86,98.36,18363918.0,MSFT,IEX,Rescheduled
2018-05-25,46.49,47.17,46.48,47.0,11354300.0,ORCL,Yahoo!,Rescheduled
2018-05-25,46.49,47.165,46.48,47.0,11354337.0,ORCL,IEX,Rescheduled
2018-05-25,115.49,115.9,115.2,115.49,1583600.0,UPS,Yahoo!,Rescheduled
2018-05-25,115.49,115.9,115.2,115.49,1583600.0,UPS,IEX,Rescheduled
2018-05-25,79.28,79.33,78.09,78.71,14562000.0,XOM,Yahoo!,Rescheduled
2018-05-25,79.28,79.33,78.09,78.71,14561988.0,XOM,IEX,Rescheduled
2018-05-29,44.19,44.68,44.06,44.54,7440700.0,BP,Yahoo!,Rescheduled
2018-05-29,44.19,44.68,44.06,44.54,7449743.0,BP,IEX,Rescheduled
2018-05-29,250.23,251.46,246.31,247.61,1088600.0,FDX,Yahoo!,Rescheduled
2018-05-29,249.5706,250.7974,245.661,246.9575,1159706.0,FDX,IEX,Rescheduled
2018-05-29,55.12,55.81,54.81,55.32,24157300.0,INTC,Yahoo!,Rescheduled
2018-05-29,55.12,55.81,54.81,55.32,24253509.0,INTC,IEX,Rescheduled
2018-05-29,97.84,98.88,97.23,98.01,28338000.0,MSFT,Yahoo!,Rescheduled
2018-05-29,97.84,98.88,97.23,98.01,28670981.0,MSFT,IEX,Rescheduled
2018-05-29,46.55,46.8,46.04,46.26,12367100.0,ORCL,Yahoo!,Rescheduled
2018-05-29,46.55,46.8,46.035,46.26,12427752.0,ORCL,IEX,Rescheduled
2018-05-29,114.87,114.95,113.01,113.83,2716600.0,UPS,Yahoo!,Rescheduled
2018-05-29,114.87,114.945,113.01,113.83,2724133.0,UPS,IEX,Rescheduled
2018-05-29,78.15,78.73,77.53,78.42,14644800.0,XOM,Yahoo!,Rescheduled
2018-05-29,78.15,78.73,77.53,78.42,14644813.0,XOM,IEX,Rescheduled
2018-05-30,45.47,45.9,45.24,45.71,7819700.0,BP,Yahoo!,Rescheduled
2018-05-30,45.47,45.895,45.24,45.71,7819659.0,BP,IEX,Rescheduled
2018-05-30,248.73,254.19,248.6,253.08,1201800.0,FDX,Yahoo!,Rescheduled
2018-05-30,248.0746,253.5202,247.9449,252.4131,1201849.0,FDX,IEX,Rescheduled
2018-05-30,55.89,56.2,55.62,55.68,24711500.0,INTC,Yahoo!,Rescheduled
2018-05-30,55.89,56.2,55.615,55.68,24711519.0,INTC,IEX,Rescheduled
2018-05-30,98.31,99.25,97.91,98.95,22158500.0,MSFT,Yahoo!,Rescheduled
2018-05-30,98.31,99.25,97.91,98.95,22158528.0,MSFT,IEX,Rescheduled
2018-05-30,46.63,47.23,46.43,47.05,11906500.0,ORCL,Yahoo!,Rescheduled
2018-05-30,46.63,47.23,46.43,47.05,11906539.0,ORCL,IEX,Rescheduled
2018-05-30,114.12,116.75,113.91,116.69,2911700.0,UPS,Yahoo!,Rescheduled
2018-05-30,114.12,116.745,113.91,116.69,2911664.0,UPS,IEX,Rescheduled
2018-05-30,79.25,81.66,79.22,81.5,16627500.0,XOM,Yahoo!,Rescheduled
2018-05-30,79.25,81.66,79.22,81.5,16627467.0,XOM,IEX,Rescheduled
2018-05-31,45.84,46.0,45.59,45.82,5887300.0,BP,Yahoo!,Rescheduled
2018-05-31,45.84,45.995,45.585,45.82,5887272.0,BP,IEX,Rescheduled
2018-05-31,253.55,253.55,248.8,249.12,1300900.0,FDX,Yahoo!,Rescheduled
2018-05-31,252.8819,252.8819,248.1444,248.4636,1300923.0,FDX,IEX,Rescheduled
2018-05-31,55.67,55.86,55.06,55.2,30962100.0,INTC,Yahoo!,Rescheduled
2018-05-31,55.67,55.86,55.06,55.2,30962105.0,INTC,IEX,Rescheduled
2018-05-31,99.29,99.99,98.61,98.84,34140900.0,MSFT,Yahoo!,Rescheduled
2018-05-31,99.29,99.99,98.61,98.84,34140891.0,MSFT,IEX,Rescheduled
2018-05-31,46.93,47.17,46.71,46.72,13062400.0,ORCL,Yahoo!,Rescheduled
2018-05-31,46.93,47.17,46.71,46.72,13062416.0,ORCL,IEX,Rescheduled
2018-05-31,116.46,116.83,115.91,116.12,5893000.0,UPS,Yahoo!,Rescheduled
2018-05-31,116.46,116.83,115.91,116.12,5892979.0,UPS,IEX,Rescheduled
2018-05-31,80.81,81.55,80.69,81.24,15803100.0,XOM,Yahoo!,Rescheduled
2018-05-31,80.81,81.55,80.69,81.24,15803095.0,XOM,IEX,Rescheduled
2018-06-01,46.17,46.21,45.8,45.92,4846000.0,BP,Yahoo!,Rescheduled
2018-06-01,46.17,46.21,45.8,45.92,4845996.0,BP,IEX,Rescheduled
2018-06-01,251.57,254.8,251.1,253.6,1128100.0,FDX,Yahoo!,Rescheduled
2018-06-01,250.9071,254.1286,250.4384,252.9318,1174549.0,FDX,IEX,Rescheduled
2018-06-01,55.84,57.1,55.8,57.08,31121800.0,INTC,Yahoo!,Rescheduled
2018-06-01,55.84,57.1,55.8,57.08,31183166.0,INTC,IEX,Rescheduled
2018-06-01,99.28,100.86,99.17,100.79,28126200.0,MSFT,Yahoo!,Rescheduled
2018-06-01,99.2798,100.86,99.17,100.79,28655624.0,MSFT,IEX,Rescheduled
2018-06-01,47.08,47.36,46.9,47.35,10797800.0,ORCL,Yahoo!,Rescheduled
2018-06-01,47.08,47.36,46.9,47.35,10863237.0,ORCL,IEX,Rescheduled
2018-06-01,116.69,117.29,116.32,117.25,2205200.0,UPS,Yahoo!,Rescheduled
2018-06-01,116.69,117.29,116.32,117.25,2237794.0,UPS,IEX,Rescheduled
2018-06-01,81.87,82.35,81.55,81.83,9906100.0,XOM,Yahoo!,Rescheduled
2018-06-01,81.87,82.35,81.55,81.83,9906117.0,XOM,IEX,Rescheduled
2018-06-04,46.32,46.45,45.92,45.96,5061100.0,BP,Yahoo!,Awaiting
2018-06-04,46.32,46.45,45.915,45.96,5061709.0,BP,IEX,Awaiting
2018-06-04,254.71,256.5,251.64,251.88,917300.0,FDX,Yahoo!,Awaiting
2018-06-04,254.0388,255.824,250.9769,251.2163,919305.0,FDX,IEX,Awaiting
2018-06-04,57.01,57.6,56.78,56.83,22438900.0,INTC,Yahoo!,Awaiting
2018-06-04,57.01,57.5995,56.775,56.83,22538053.0,INTC,IEX,Awaiting
2018-06-04,101.26,101.86,100.85,101.67,27166800.0,MSFT,Yahoo!,Awaiting
2018-06-04,101.26,101.86,100.851,101.67,27281623.0,MSFT,IEX,Awaiting
2018-06-04,47.48,47.57,47.23,47.32,12141000.0,ORCL,Yahoo!,Awaiting
2018-06-04,47.48,47.57,47.23,47.32,12178443.0,ORCL,IEX,Awaiting
2018-06-04,117.61,118.27,116.92,116.97,2226100.0,UPS,Yahoo!,Awaiting
2018-06-04,117.61,118.27,116.92,116.97,2248463.0,UPS,IEX,Awaiting
2018-06-04,82.05,82.53,80.81,80.97,10954700.0,XOM,Yahoo!,Awaiting
2018-06-04,82.05,82.53,80.805,80.97,10954709.0,XOM,IEX,Awaiting
2018-06-05,46.0,46.5,45.85,46.29,5542400.0,BP,Yahoo!,Awaiting
2018-06-05,46.0,46.5,45.845,46.29,5542413.0,BP,IEX,Awaiting
2018-06-05,251.56,252.75,249.75,252.0,953900.0,FDX,Yahoo!,Awaiting
2018-06-05,250.8971,252.084,249.0919,251.336,953946.0,FDX,IEX,Awaiting
2018-06-05,56.9,57.12,56.22,56.53,21687000.0,INTC,Yahoo!,Awaiting
2018-06-05,56.9,57.12,56.215,56.53,21687019.0,INTC,IEX,Awaiting
